experiment,seed,scale,image_id,target_index,center_error_sq,center_error_l2,size_error_l1,size_error_relative,matched_iou,label_correct
baseline,42,medium,5057,2,1.7985568774747662e-05,0.0042409393936395645,0.0010045766830444336,0.004274776205420494,0.9410039186477661,0
baseline,42,large,5057,1,0.0001540455996291712,0.012411510571837425,0.05001428723335266,0.08719249069690704,0.9170154333114624,1
baseline,42,large,6296,0,0.0008756472379900515,0.029591336846351624,0.0859200656414032,0.34979939460754395,0.7265806198120117,1
baseline,42,large,6296,2,0.0005616749403998256,0.02369968220591545,0.11245182156562805,0.25136128067970276,0.7978203296661377,1
baseline,42,large,6296,1,0.003744499059394002,0.061192311346530914,0.088642418384552,0.2892875075340271,0.6841703653335571,1
baseline,42,large,3351,0,0.00023059718660078943,0.01518542692065239,0.02101147174835205,0.031007900834083557,0.936939537525177,1
baseline,42,large,3673,0,0.00012057286949129775,0.010980567894876003,0.008081793785095215,0.01361280307173729,0.951715350151062,0
baseline,42,large,3673,1,8.092197822406888e-05,0.008995664305984974,0.031141161918640137,0.033669352531433105,0.9386444687843323,0
baseline,42,large,3330,0,7.022989302640781e-05,0.008380327373743057,0.03614829480648041,0.16511110961437225,0.8155086636543274,0
baseline,42,medium,3330,1,0.00020616481197066605,0.014358440414071083,0.00597207248210907,0.030355937778949738,0.8034883737564087,1
baseline,42,medium,3838,5,0.0004633763455785811,0.02152617834508419,0.09640304744243622,1.0632975101470947,0.4640328586101532,1
baseline,42,large,3838,2,0.0009002758888527751,0.030004598200321198,0.0486987829208374,0.1527039259672165,0.8099803328514099,1
baseline,42,large,3838,3,0.0008211231324821711,0.028655245900154114,0.004976391792297363,0.014542154967784882,0.8128204941749573,1
baseline,42,large,3838,0,2.389907240285538e-05,0.0048886677250266075,0.024658292531967163,0.05098024755716324,0.9511534571647644,1
baseline,42,medium,3838,4,0.0003988381940871477,0.019970932975411415,0.04420272260904312,0.3484683632850647,0.7060454487800598,1
baseline,42,large,3838,1,0.00011116709356429055,0.0105435810983181,0.018269628286361694,0.04506697133183479,0.9264183640480042,1
baseline,42,large,6759,0,6.333670171443373e-05,0.007958435453474522,0.038049519062042236,0.05282074958086014,0.9457300305366516,0
baseline,42,medium,1532,3,0.00043792097130790353,0.02092656120657921,0.09016885608434677,0.5139983296394348,0.5416598916053772,0
baseline,42,medium,1532,8,0.00010111469600815326,0.01005558017641306,0.008317235857248306,0.09261053800582886,0.8233004212379456,1
baseline,42,small,1532,6,0.0007861294434405863,0.02803800068795681,0.00965859740972519,0.14523351192474365,0.3826683759689331,0
baseline,42,medium,1532,2,7.402959454338998e-05,0.008604045026004314,0.015516936779022217,0.10726258903741837,0.8320408463478088,0
baseline,42,medium,1532,4,0.0006819575792178512,0.026114316657185555,0.03456130623817444,0.24425537884235382,0.4448482096195221,0
baseline,42,small,1532,9,0.00030403450364246964,0.01743658445775509,0.02402682602405548,0.24138540029525757,0.6418669819831848,1
baseline,42,medium,1532,0,3.863863094011322e-05,0.006215997971594334,0.02649092674255371,0.1835792362689972,0.7880989909172058,1
baseline,42,small,1532,5,0.00033839308889582753,0.01839546300470829,0.00398755818605423,0.08358599990606308,0.39200979471206665,0
baseline,42,small,1532,1,0.0007057966431602836,0.02656683325767517,0.07589514553546906,1.019858956336975,0.4284420907497406,1
baseline,42,medium,1532,7,0.00015033209638204426,0.012260998599231243,0.021953366696834564,0.11275987327098846,0.6762391924858093,1
