experiment,seed,metric_type,key,value,scale
baseline,43,class_scale,person,0.1538621122281643,medium
baseline,43,class_scale,person,0.4005828611310117,large
baseline,43,class_scale,pottedplant,,small
baseline,43,class_scale,pottedplant,0.0,medium
baseline,43,class_scale,pottedplant,0.5999999999999999,large
baseline,43,class_scale,sheep,0.0,small
baseline,43,class_scale,sheep,0.0,medium
baseline,43,class_scale,sheep,0.0,large
baseline,43,class_scale,sofa,,small
baseline,43,class_scale,sofa,0.0,medium
baseline,43,class_scale,sofa,0.250179820892282,large
baseline,43,class_scale,train,,small
baseline,43,class_scale,train,0.0,medium
baseline,43,class_scale,train,0.1001446886987557,large
baseline,43,class_scale,tvmonitor,0.0,small
baseline,43,class_scale,tvmonitor,0.0,medium
baseline,43,class_scale,tvmonitor,0.124701283819833,large
baseline,43,iou,0.50,0.1620469689369201,
baseline,43,iou,0.55,0.1607112288475036,
baseline,43,iou,0.60,0.1556538641452789,
baseline,43,iou,0.65,0.1471160799264907,
baseline,43,iou,0.70,0.1305630058050155,
baseline,43,iou,0.75,0.1095642149448394,
baseline,43,iou,0.80,0.07938102632761,
baseline,43,iou,0.85,0.0568181723356246,
baseline,43,iou,0.90,0.0259245689958333,
baseline,43,iou,0.95,0.0051135034300386,
shared_e2e,43,area,all,0.107321910560131,
shared_e2e,43,area,small,0.0584628023207187,
shared_e2e,43,area,medium,0.12041487544775,
shared_e2e,43,area,large,0.1408754289150238,
shared_e2e,43,class,aeroplane,0.0444817990064621,
shared_e2e,43,class,bicycle,0.0360836088657379,
shared_e2e,43,class,bird,0.1757907271385193,
shared_e2e,43,class,boat,0.0,
shared_e2e,43,class,bottle,0.2445988804101944,
shared_e2e,43,class,bus,0.0002759292256087,
shared_e2e,43,class,car,0.249001607298851,
shared_e2e,43,class,cat,0.1362915635108947,
shared_e2e,43,class,chair,0.1211659535765647,
shared_e2e,43,class,cow,0.0740974992513656,
shared_e2e,43,class,diningtable,0.0638283863663673,
shared_e2e,43,class,dog,0.0173550359904766,
shared_e2e,43,class,horse,0.2565252184867859,
shared_e2e,43,class,motorbike,0.0269866995513439,
shared_e2e,43,class,person,0.2381346821784973,
shared_e2e,43,class,pottedplant,0.0162649787962436,
shared_e2e,43,class,sheep,0.0,
shared_e2e,43,class,sofa,0.0599810741841793,
shared_e2e,43,class,train,0.2647909522056579,
shared_e2e,43,class,tvmonitor,0.1207835897803306,
shared_e2e,43,class_scale,aeroplane,,small
shared_e2e,43,class_scale,aeroplane,,medium
shared_e2e,43,class_scale,aeroplane,0.0600708577397816,large
shared_e2e,43,class_scale,bicycle,,small
shared_e2e,43,class_scale,bicycle,0.0,medium
shared_e2e,43,class_scale,bicycle,0.070600707983684,large
shared_e2e,43,class_scale,bird,,small
shared_e2e,43,class_scale,bird,0.7031249999999999,medium
shared_e2e,43,class_scale,bird,0.0525608094247338,large
shared_e2e,43,class_scale,boat,,small
shared_e2e,43,class_scale,boat,0.0,medium
shared_e2e,43,class_scale,boat,0.0,large
shared_e2e,43,class_scale,bottle,0.0,small
shared_e2e,43,class_scale,bottle,,medium
shared_e2e,43,class_scale,bottle,0.4996699669966996,large
shared_e2e,43,class_scale,bus,0.0,small
shared_e2e,43,class_scale,bus,0.0,medium
shared_e2e,43,class_scale,bus,0.0010743627554244,large
shared_e2e,43,class_scale,car,0.2693894389438944,small
shared_e2e,43,class_scale,car,0.5226206843717847,medium
shared_e2e,43,class_scale,car,0.3867532692652584,large
shared_e2e,43,class_scale,cat,,small
shared_e2e,43,class_scale,cat,,medium
shared_e2e,43,class_scale,cat,0.1362932166702258,large
shared_e2e,43,class_scale,chair,,small
shared_e2e,43,class_scale,chair,0.2116556965015104,medium
shared_e2e,43,class_scale,chair,0.0651555551322623,large
shared_e2e,43,class_scale,cow,0.1204620462046204,small
shared_e2e,43,class_scale,cow,0.0976854264373805,medium
shared_e2e,43,class_scale,cow,0.0193069306930693,large
shared_e2e,43,class_scale,diningtable,,small
shared_e2e,43,class_scale,diningtable,0.0,medium
shared_e2e,43,class_scale,diningtable,0.1165711307972902,large
shared_e2e,43,class_scale,dog,,small
shared_e2e,43,class_scale,dog,,medium
shared_e2e,43,class_scale,dog,0.0199879202202117,large
shared_e2e,43,class_scale,horse,0.0,small
shared_e2e,43,class_scale,horse,0.1666666666666666,medium
shared_e2e,43,class_scale,horse,0.3896990028296823,large
shared_e2e,43,class_scale,motorbike,0.0,small
shared_e2e,43,class_scale,motorbike,0.0,medium
shared_e2e,43,class_scale,motorbike,0.0483048182827391,large
shared_e2e,43,class_scale,person,0.1363137247790713,small
shared_e2e,43,class_scale,person,0.1661596087845538,medium
shared_e2e,43,class_scale,person,0.314851266528611,large
shared_e2e,43,class_scale,pottedplant,,small
shared_e2e,43,class_scale,pottedplant,0.0172067206720672,medium
shared_e2e,43,class_scale,pottedplant,0.0499999999999999,large
shared_e2e,43,class_scale,sheep,0.0,small
shared_e2e,43,class_scale,sheep,0.0,medium
shared_e2e,43,class_scale,sheep,0.0,large
shared_e2e,43,class_scale,sofa,,small
shared_e2e,43,class_scale,sofa,0.0,medium
shared_e2e,43,class_scale,sofa,0.0674158244604126,large
shared_e2e,43,class_scale,train,,small
shared_e2e,43,class_scale,train,0.0,medium
shared_e2e,43,class_scale,train,0.3433453060689292,large
shared_e2e,43,class_scale,tvmonitor,0.0,small
shared_e2e,43,class_scale,tvmonitor,0.0415181518151815,medium
shared_e2e,43,class_scale,tvmonitor,0.1758475847584758,large
shared_e2e,43,iou,0.50,0.1705471724271774,
shared_e2e,43,iou,0.55,0.1667759418487548,
shared_e2e,43,iou,0.60,0.1611932218074798,
shared_e2e,43,iou,0.65,0.1537021249532699,
shared_e2e,43,iou,0.70,0.1389651745557785,
shared_e2e,43,iou,0.75,0.1055928021669387,
shared_e2e,43,iou,0.80,0.0875059440732002,
shared_e2e,43,iou,0.85,0.0533173456788063,
shared_e2e,43,iou,0.90,0.0263160876929759,
shared_e2e,43,iou,0.95,0.0093032801523804,
baseline,44,area,all,0.0433730296790599,
baseline,44,area,small,0.0369203649461269,
baseline,44,area,medium,0.0565265230834484,
baseline,44,area,large,0.1001408621668815,
baseline,44,class,aeroplane,0.0352718122303485,
baseline,44,class,bicycle,0.0290026888251304,
baseline,44,class,bird,0.0118428487330675,
baseline,44,class,boat,0.0,
baseline,44,class,bottle,0.0206684134900569,
baseline,44,class,bus,0.0117821786552667,
baseline,44,class,car,0.1349946558475494,
baseline,44,class,cat,0.0439390316605567,
baseline,44,class,chair,0.1248990595340728,
baseline,44,class,cow,0.0242111776024103,
baseline,44,class,diningtable,0.0,
baseline,44,class,dog,0.0158575177192688,
baseline,44,class,horse,0.0204327646642923,
baseline,44,class,motorbike,0.0268920715898275,
baseline,44,class,person,0.1769687235355377,
baseline,44,class,pottedplant,0.1192619279026985,
baseline,44,class,sheep,0.0,
baseline,44,class,sofa,0.0115924095734953,
baseline,44,class,train,0.0251151304692029,
baseline,44,class,tvmonitor,0.0347281880676746,
baseline,44,class_scale,aeroplane,,small
baseline,44,class_scale,aeroplane,,medium
baseline,44,class_scale,aeroplane,0.0819511590735663,large
baseline,44,class_scale,bicycle,,small
baseline,44,class_scale,bicycle,0.005049504950495,medium
baseline,44,class_scale,bicycle,0.060683083600251,large
baseline,44,class_scale,bird,,small
baseline,44,class_scale,bird,0.0459239130434782,medium
baseline,44,class_scale,bird,0.0098224653571798,large
baseline,44,class_scale,boat,,small
baseline,44,class_scale,boat,0.0,medium
baseline,44,class_scale,boat,0.0,large
baseline,44,class_scale,bottle,0.0,small
baseline,44,class_scale,bottle,,medium
baseline,44,class_scale,bottle,0.3138613861386138,large
baseline,44,class_scale,bus,0.0,small
baseline,44,class_scale,bus,0.0336633663366336,medium
baseline,44,class_scale,bus,0.0,large
baseline,44,class_scale,car,0.1682068206820682,small
baseline,44,class_scale,car,0.3552662913350157,medium
baseline,44,class_scale,car,0.1213389927024092,large
baseline,44,class_scale,cat,,small
baseline,44,class_scale,cat,,medium
baseline,44,class_scale,cat,0.0447766479923942,large
baseline,44,class_scale,chair,,small
baseline,44,class_scale,chair,0.1902369329936764,medium
baseline,44,class_scale,chair,0.0862322791506387,large
baseline,44,class_scale,cow,0.0,small
baseline,44,class_scale,cow,0.0486633663366336,medium
baseline,44,class_scale,cow,0.0314002828854314,large
baseline,44,class_scale,diningtable,,small
baseline,44,class_scale,diningtable,0.0,medium
baseline,44,class_scale,diningtable,0.0,large
baseline,44,class_scale,dog,,small
baseline,44,class_scale,dog,,medium
baseline,44,class_scale,dog,0.0199758159745293,large
baseline,44,class_scale,horse,0.0,small
baseline,44,class_scale,horse,0.0,medium
baseline,44,class_scale,horse,0.054432384232212,large
baseline,44,class_scale,motorbike,0.0,small
baseline,44,class_scale,motorbike,0.0,medium
baseline,44,class_scale,motorbike,0.0602925880709141,large
baseline,44,class_scale,person,0.1640764537446652,small
baseline,44,class_scale,person,0.1605338670773305,medium
baseline,44,class_scale,person,0.2260379636090571,large
baseline,44,class_scale,pottedplant,,small
baseline,44,class_scale,pottedplant,0.0509130913091309,medium
baseline,44,class_scale,pottedplant,0.5999999999999999,large
baseline,44,class_scale,sheep,0.0,small
baseline,44,class_scale,sheep,0.0,medium
baseline,44,class_scale,sheep,0.0,large
baseline,44,class_scale,sofa,,small
baseline,44,class_scale,sofa,0.0,medium
baseline,44,class_scale,sofa,0.0272324375294672,large
baseline,44,class_scale,train,,small
baseline,44,class_scale,train,0.0,medium
baseline,44,class_scale,train,0.0314464769721524,large
baseline,44,class_scale,tvmonitor,0.0,small
baseline,44,class_scale,tvmonitor,0.0141740489838457,medium
baseline,44,class_scale,tvmonitor,0.2333333333333333,large
baseline,44,iou,0.50,0.0814912468194961,
baseline,44,iou,0.55,0.0695968642830848,
baseline,44,iou,0.60,0.0675003826618194,
baseline,44,iou,0.65,0.0636150985956192,
baseline,44,iou,0.70,0.0560997873544693,
baseline,44,iou,0.75,0.0466532483696937,
baseline,44,iou,0.80,0.029741134494543,
baseline,44,iou,0.85,0.0143154105171561,
baseline,44,iou,0.90,0.0042221639305353,
baseline,44,iou,0.95,0.0004949601134285,
shared_e2e,44,area,all,0.0634765550494194,
shared_e2e,44,area,small,0.0381192490458488,
shared_e2e,44,area,medium,0.0704634860157966,
shared_e2e,44,area,large,0.0934586152434349,
shared_e2e,44,class,aeroplane,0.0938438773155212,
shared_e2e,44,class,bicycle,0.029119536280632,
shared_e2e,44,class,bird,0.0999406799674034,
shared_e2e,44,class,boat,0.0038253825623542,
shared_e2e,44,class,bottle,0.010951928794384,
