experiment,seed,metric_type,key,value,scale
shared_e2e,42,class_scale,sheep,0.0,medium
shared_e2e,42,class_scale,sheep,0.0,large
shared_e2e,42,class_scale,sofa,,small
shared_e2e,42,class_scale,sofa,0.0,medium
shared_e2e,42,class_scale,sofa,0.0957956640301847,large
shared_e2e,42,class_scale,train,,small
shared_e2e,42,class_scale,train,0.0,medium
shared_e2e,42,class_scale,train,0.0646205528367792,large
shared_e2e,42,class_scale,tvmonitor,0.0,small
shared_e2e,42,class_scale,tvmonitor,0.0067326732673267,medium
shared_e2e,42,class_scale,tvmonitor,0.041048969761841,large
shared_e2e,42,iou,0.50,0.1413214057683944,
shared_e2e,42,iou,0.55,0.1363550126552581,
shared_e2e,42,iou,0.60,0.1256158798933029,
shared_e2e,42,iou,0.65,0.1214337646961212,
shared_e2e,42,iou,0.70,0.1118533983826637,
shared_e2e,42,iou,0.75,0.0909885019063949,
shared_e2e,42,iou,0.80,0.0718807578086853,
shared_e2e,42,iou,0.85,0.0565529316663742,
shared_e2e,42,iou,0.90,0.0293060205876827,
shared_e2e,42,iou,0.95,0.0040218089707195,
separate_e2e,42,area,all,0.0870117992162704,
separate_e2e,42,area,small,0.0431077629327774,
separate_e2e,42,area,medium,0.1146942973136901,
separate_e2e,42,area,large,0.1247098445892334,
separate_e2e,42,class,aeroplane,0.0288157779723405,
separate_e2e,42,class,bicycle,0.0702413097023963,
separate_e2e,42,class,bird,0.1380790770053863,
separate_e2e,42,class,boat,0.0091809183359146,
separate_e2e,42,class,bottle,0.2928712964057922,
separate_e2e,42,class,bus,0.1104914844036102,
separate_e2e,42,class,car,0.1564004868268966,
separate_e2e,42,class,cat,0.1810171753168106,
separate_e2e,42,class,chair,0.1758538782596588,
separate_e2e,42,class,cow,0.0798369646072387,
separate_e2e,42,class,diningtable,0.0,
separate_e2e,42,class,dog,0.0234606023877859,
separate_e2e,42,class,horse,0.0412247888743877,
separate_e2e,42,class,motorbike,0.0175102222710847,
separate_e2e,42,class,person,0.2919341027736664,
separate_e2e,42,class,pottedplant,0.0274873431771993,
separate_e2e,42,class,sheep,0.0,
separate_e2e,42,class,sofa,0.0557750090956687,
separate_e2e,42,class,train,0.0256044566631317,
separate_e2e,42,class,tvmonitor,0.0144511237740516,
