loc_map,loc_ap50,loc_ap75,loc_ar100,loc_ap_small,loc_ap_medium,loc_ap_large,matched_iou,center_error_l2,size_error_l1,geometry_recall50,geometry_recall75,experiment,reference,seed
0.02376021444797516,0.04460248351097107,0.03606502711772919,-0.02540189027786255,0.035426065325737,-0.01082681119441986,0.05253861844539642,-0.013348758220672607,-0.0018684975802898407,0.007293522357940674,-0.019292604501607746,0.006430868167202619,baseline,shared_e2e,43
0.12612485885620117,0.22509056329727173,0.10516902804374695,0.030868172645568848,0.08108415454626083,0.04978519678115845,0.19838757812976837,0.037505924701690674,-0.01517338678240776,-0.02269216626882553,0.090032154340836,0.012861736334405127,localization_only,shared_e2e,42
0.09567499160766602,0.17892500758171082,0.10862904787063599,-0.0016077160835266113,0.064208984375,0.058531105518341064,0.14512313902378082,0.022442281246185303,-0.01834057830274105,-0.019263237714767456,0.03858520900321549,0.0,localization_only,shared_e2e,43
0.13534119725227356,0.23448947072029114,0.16201967000961304,0.02636653184890747,0.0025975406169891357,0.03566928207874298,0.20671679079532623,0.03351426124572754,-0.017774686217308044,-0.023079540580511093,0.0836012861736335,0.022508038585209,localization_gt_e2e_aux010,shared_e2e,42
0.1206696629524231,0.1643877923488617,0.17005345225334167,0.05144697427749634,0.0024174749851226807,0.03130684792995453,0.18453426659107208,0.04898405075073242,-0.02083444409072399,-0.027135558426380157,0.054662379421221874,0.11575562700964637,localization_gt_e2e_aux010,shared_e2e,43
0.07629963755607605,0.11834463477134705,0.07934935390949249,0.03762054443359375,-0.008772067725658417,-0.017178595066070557,0.16624291241168976,0.033277809619903564,-0.014248708263039589,-0.022455647587776184,0.06109324758842449,0.032154340836012874,localization_gt_e2e_aux025,shared_e2e,42
0.12450698018074036,0.1919742226600647,0.1449316143989563,0.038263678550720215,0.05481982231140137,0.07766461372375488,0.1686490923166275,0.04553323984146118,-0.022078020498156548,-0.02536115050315857,0.05787781350482313,0.054662379421221874,localization_gt_e2e_aux025,shared_e2e,43
0.08012764155864716,0.13560089468955994,0.08825249969959259,0.054019272327423096,0.02941509336233139,0.006286159157752991,0.15207181870937347,0.046242356300354004,-0.01790744438767433,-0.02466214820742607,0.09324758842443737,0.048231511254019366,localization_gt_e2e_aux050,shared_e2e,42
0.07159407436847687,0.12196719646453857,0.0827697217464447,0.022508084774017334,0.02680312842130661,0.053755179047584534,0.10846953094005585,0.03358447551727295,-0.020258953794836998,-0.023556798696517944,0.03858520900321549,0.048231511254019366,localization_gt_e2e_aux050,shared_e2e,43
-0.14555351436138153,-0.23922733962535858,-0.14088383316993713,-0.05369776487350464,-0.09671414643526077,-0.08857131004333496,-0.18861263990402222,-0.05063331127166748,0.019666481763124466,0.029151178896427155,-0.08681672025723475,-0.054662379421221874,baseline,localization_only,42
-0.07191477715969086,-0.13432252407073975,-0.0725640207529068,-0.023794174194335938,-0.028782919049263,-0.06935791671276093,-0.0925845205783844,-0.03579103946685791,0.01647208072245121,0.02655676007270813,-0.05787781350482324,0.006430868167202619,baseline,localization_only,43
-0.12612485885620117,-0.22509056329727173,-0.10516902804374695,-0.030868172645568848,-0.08108415454626083,-0.04978519678115845,-0.19838757812976837,-0.037505924701690674,0.01517338678240776,0.02269216626882553,-0.090032154340836,-0.012861736334405127,shared_e2e,localization_only,42
-0.09567499160766602,-0.17892500758171082,-0.10862904787063599,0.0016077160835266113,-0.064208984375,-0.058531105518341064,-0.14512313902378082,-0.022442281246185303,0.01834057830274105,0.019263237714767456,-0.03858520900321549,0.0,shared_e2e,localization_only,43
0.009216338396072388,0.00939890742301941,0.05685064196586609,-0.004501640796661377,-0.0784866139292717,-0.014115914702415466,0.008329212665557861,-0.003991663455963135,-0.002601299434900284,-0.00038737431168556213,-0.006430868167202508,0.009646302250803873,localization_gt_e2e_aux010,localization_only,42
0.02499467134475708,-0.014537215232849121,0.06142440438270569,0.05305469036102295,-0.06179150938987732,-0.027224257588386536,0.03941112756729126,0.02654176950454712,-0.0024938657879829407,-0.007872320711612701,0.01607717041800638,0.11575562700964637,localization_gt_e2e_aux010,localization_only,43
-0.04982522130012512,-0.10674592852592468,-0.025819674134254456,0.006752371788024902,-0.08985622227191925,-0.066963791847229,-0.03214466571807861,-0.004228115081787109,0.0009246785193681717,0.00023651868104934692,-0.02893890675241151,0.019292604501607746,localization_gt_e2e_aux025,localization_only,42
0.02883198857307434,0.013049215078353882,0.03630256652832031,0.039871394634246826,-0.009389162063598633,0.01913350820541382,0.02352595329284668,0.02309095859527588,-0.003737442195415497,-0.006097912788391113,0.019292604501607635,0.054662379421221874,localization_gt_e2e_aux025,localization_only,43
-0.045997217297554016,-0.08948966860771179,-0.016916528344154358,0.023151099681854248,-0.05166906118392944,-0.04349903762340546,-0.0463157594203949,0.00873643159866333,-0.002734057605266571,-0.00196998193860054,0.003215434083601365,0.03536977491961424,localization_gt_e2e_aux050,localization_only,42
-0.024080917239189148,-0.05695781111717224,-0.025859326124191284,0.024115800857543945,-0.03740585595369339,-0.004775926470756531,-0.036653608083724976,0.011142194271087646,-0.0019183754920959473,-0.004293560981750488,0.0,0.048231511254019366,localization_gt_e2e_aux050,localization_only,43
