experiment,seed,image_id,large_gt_count,matched_tp_score_mean,matched_tp_score_min,matched_iou_mean,matched_class_accuracy,fp_query_count,fp_score_mean,fp_score_q95,fp_score_q99,fp_score_top10_mean,fp_score_max,tp_minus_top_fp,tp_above_top_fp,duplicate_like_fp50_count,duplicate_like_fp50_rate,high_confidence_fp50_count,checkpoint_epoch,fingerprint
baseline,42,3781,2,0.17150074243545532,0.1561618149280548,0.9316232204437256,1.0,297,0.06624910235404968,0.15829084813594818,0.1943577378988266,0.18776126205921173,0.2138611525297165,-0.04236041009426117,0,73,0.2457912415266037,0,7,c16286f63961237b
baseline,42,5588,1,0.23697853088378906,0.23697853088378906,0.9307087659835815,1.0,299,0.032346438616514206,0.06853532046079636,0.1293707937002182,0.12337912619113922,0.23745207488536835,-0.00047354400157928467,0,11,0.03678929805755615,0,7,c16286f63961237b
baseline,42,8628,3,0.10303688049316406,0.04131827503442764,0.844448983669281,0.6666666865348816,296,0.06059062108397484,0.12954337894916534,0.16616232693195343,0.16129955649375916,0.21044375002384186,-0.1074068695306778,0,32,0.10810811072587967,0,7,c16286f63961237b
baseline,42,5314,1,0.05819910764694214,0.05819910764694214,0.8736725449562073,0.0,299,0.041866954416036606,0.08844362944364548,0.09936919063329697,0.09994091838598251,0.11049430072307587,-0.05229519307613373,0,0,0.0,0,7,c16286f63961237b
baseline,42,8338,1,0.06793463975191116,0.06793463975191116,0.8924488425254822,0.0,299,0.05617205426096916,0.12926682829856873,0.14108118414878845,0.14200380444526672,0.15454833209514618,-0.08661369234323502,0,0,0.0,0,7,c16286f63961237b
baseline,42,6949,1,0.03981589153409004,0.03981589153409004,0.8457099795341492,0.0,299,0.038879889994859695,0.08614134788513184,0.09647297114133835,0.09523014724254608,0.10614609718322754,-0.0663302093744278,0,29,0.09698996692895889,0,7,c16286f63961237b
baseline,42,7154,1,0.10343632102012634,0.10343632102012634,0.8225990533828735,1.0,299,0.043923839926719666,0.12814415991306305,0.17355799674987793,0.16838207840919495,0.2012123316526413,-0.09777601063251495,0,37,0.12374582141637802,0,7,c16286f63961237b
baseline,42,5940,6,0.24887873232364655,0.20305629074573517,0.8227466344833374,1.0,294,0.08680852502584457,0.22935079038143158,0.2865806519985199,0.27793365716934204,0.33298614621162415,-0.0841074138879776,0,76,0.25850340723991394,0,7,c16286f63961237b
baseline,42,851,2,0.1323433518409729,0.08854977786540985,0.8252274394035339,0.5,298,0.045318908989429474,0.12479156255722046,0.1973288357257843,0.19118045270442963,0.22024384140968323,-0.08790048956871033,0,12,0.04026845842599869,0,7,c16286f63961237b
baseline,42,7536,2,0.06469637900590897,0.05992131307721138,0.8480899333953857,0.0,298,0.04690007120370865,0.08945028483867645,0.10899253189563751,0.10306717455387115,0.11659391969442368,-0.05189754068851471,0,11,0.03691275045275688,0,7,c16286f63961237b
baseline,42,8252,1,0.06973252445459366,0.06973252445459366,0.8788213729858398,0.0,299,0.04409618303179741,0.09632037580013275,0.1206851378083229,0.11764383316040039,0.12350349128246307,-0.053770966827869415,0,0,0.0,0,7,c16286f63961237b
baseline,42,1206,2,0.08945149928331375,0.05542833358049393,0.7981849908828735,0.5,298,0.04023374617099762,0.11047416180372238,0.2070700079202652,0.18097206950187683,0.21550427377223969,-0.12605276703834534,0,18,0.06040268391370773,0,7,c16286f63961237b
baseline,42,4121,2,0.18573805689811707,0.13782253861427307,0.8356736898422241,1.0,297,0.04761243239045143,0.1318083107471466,0.19355811178684235,0.1969645917415619,0.27777814865112305,-0.09204009175300598,0,24,0.08080808073282242,0,7,c16286f63961237b
baseline,42,4857,6,0.1410498172044754,0.02066522277891636,0.8533167839050293,0.8333333730697632,285,0.09368107467889786,0.2296626716852188,0.271101176738739,0.2645694613456726,0.31670886278152466,-0.17565904557704926,0,50,0.17543859779834747,0,7,c16286f63961237b
baseline,42,3759,3,0.2059261053800583,0.1838437020778656,0.9031540751457214,1.0,296,0.060573138296604156,0.19370198249816895,0.2769758999347687,0.26848316192626953,0.3010146915912628,-0.09508858621120453,0,58,0.19594594836235046,0,7,c16286f63961237b
baseline,42,5057,2,0.16654318571090698,0.11095031350851059,0.8868899345397949,0.5,297,0.041719548404216766,0.09737374633550644,0.14325419068336487,0.1528845727443695,0.2281567007303238,-0.06161351501941681,0,25,0.08417508006095886,0,7,c16286f63961237b
baseline,42,6296,3,0.15577256679534912,0.11167683452367783,0.7361904978752136,1.0,297,0.0627988949418068,0.167547807097435,0.20280833542346954,0.2002331018447876,0.20943915843963623,-0.05366659164428711,0,71,0.23905722796916962,0,7,c16286f63961237b
baseline,42,3351,1,0.08186397701501846,0.08186397701501846,0.936939537525177,1.0,299,0.0314774289727211,0.06363649666309357,0.079046331346035,0.07592169940471649,0.08735605329275131,-0.005492076277732849,0,21,0.07023411244153976,0,7,c16286f63961237b
