experiment,seed,data_seed,epoch,cosine,main_grad_norm,weighted_aux_grad_norm,norm_ratio,step,projection_scope,enc_cls_aux_cosine_raw,enc_cls_aux_dot_raw,enc_cls_aux_dot_projected,enc_cls_grad_norm,enc_aux_grad_norm,enc_aux_grad_norm_projected,projection_applied,projection_removed_ratio
shared_e2e_projected,42,42,1,0.06575141847133636,421.6104431152344,13.364169120788574,0.031697908197060205,10,transformer_encoder,0.06575141847133636,740.94921875,740.94921875,421.6104431152344,26.72833824157715,26.72833824157715,False,0.0
shared_e2e_projected,42,42,1,-0.013625317253172398,180.99612426757812,9.620660781860352,0.05315396017893463,11,transformer_encoder,-0.013625317253172398,-47.451595306396484,-7.152557373046875e-07,180.99612426757812,19.241321563720703,19.239534378051758,True,9.28640365600586e-05
shared_e2e_projected,42,42,1,0.0458969920873642,208.12203979492188,8.43756103515625,0.04054141043144881,12,transformer_encoder,0.0458969920873642,161.19412231445312,161.19412231445312,208.12203979492188,16.8751220703125,16.8751220703125,False,0.0
shared_e2e_projected,42,42,1,0.04391944408416748,112.26417541503906,3.4042582511901855,0.030323638316539458,13,transformer_encoder,0.04391944408416748,33.5699348449707,33.5699348449707,112.26417541503906,6.808516502380371,6.808516502380371,False,0.0
shared_e2e_projected,42,42,1,0.048378754407167435,117.98595428466797,5.550441265106201,0.04704323746633857,14,transformer_encoder,0.048378754407167435,63.36398696899414,63.36398696899414,117.98595428466797,11.100882530212402,11.100882530212402,False,0.0
shared_e2e_projected,42,42,1,-0.12232396751642227,243.62295532226562,4.50426721572876,0.018488681453562097,15,transformer_encoder,-0.12232396751642227,-268.4626770019531,2.002716064453125e-05,243.62295532226562,9.00853443145752,8.940881729125977,True,0.007509827613830566
shared_e2e_projected,42,42,1,-0.09030928462743759,106.50287628173828,6.457076072692871,0.06062818487278776,16,transformer_encoder,-0.09030928462743759,-124.21088409423828,-2.3365020751953125e-05,106.50287628173828,12.914152145385742,12.861381530761719,True,0.00408625602722168
shared_e2e_projected,42,42,1,-0.11108232289552689,113.87033081054688,10.787864685058594,0.09473815179308676,17,transformer_encoder,-0.11108232289552689,-272.9109802246094,2.384185791015625e-05,113.87033081054688,21.575729370117188,21.44219970703125,True,0.006188869476318359
shared_e2e_projected,42,42,1,-0.0721317008137703,78.2588882446289,3.2738375663757324,0.04183342799532325,18,transformer_encoder,-0.0721317008137703,-36.96127700805664,3.337860107421875e-06,78.2588882446289,6.547675132751465,6.530620098114014,True,0.0026047229766845703
shared_e2e_projected,42,42,1,-0.003543239086866379,18.59058952331543,2.5536813735961914,0.1373641954922132,19,transformer_encoder,-0.003543239086866379,-0.33642658591270447,2.384185791015625e-07,18.59058952331543,5.107362747192383,5.107329845428467,True,6.4373016357421875e-06
shared_e2e_projected,42,42,1,-0.11317314207553864,22.182186126708984,2.6602625846862793,0.1199278812958443,20,transformer_encoder,-0.11317314207553864,-13.356794357299805,2.384185791015625e-06,22.182186126708984,5.320525169372559,5.286342144012451,True,0.00642472505569458
shared_e2e_projected,42,42,1,-0.08704902231693268,10.329980850219727,3.0087950229644775,0.2912682091661843,21,transformer_encoder,-0.08704902231693268,-5.411105632781982,6.780028343200684e-07,10.329980850219727,6.017590045928955,5.994747638702393,True,0.003795921802520752
shared_e2e_projected,42,42,1,0.14027608931064606,7.170103073120117,3.0173351764678955,0.4208217295759017,22,transformer_encoder,0.14027608931064606,6.069634914398193,6.069634914398193,7.170103073120117,6.034670352935791,6.034670352935791,False,0.0
shared_e2e_projected,42,42,1,-0.08029675483703613,1.443966031074524,1.3419817686080933,0.9293721179919037,23,transformer_encoder,-0.08029675483703613,-0.3111942708492279,1.30385160446167e-08,1.443966031074524,2.6839635372161865,2.6752967834472656,True,0.003229081630706787
