experiment,seed,scale,batch_index,object_count,aux_used,aux_collisions,cosine_total_full,cosine_total_support,cosine_loc_full,cosine_loc_support,main_total_grad_norm,main_loc_grad_norm,center_grad_norm,center_support_positions,checkpoint_epoch,fingerprint
shared_e2e,44,medium,4,4,4,0,0.00017987746105063707,0.031639181077480316,0.00015555639402009547,0.02851581573486328,0.2261456549167633,0.22135041654109955,0.8299262523651123,4,7,9fffb715f8680daa
shared_e2e,44,large,4,1,1,0,0.0008792573353275657,0.04874837026000023,0.0010747498599812388,0.05600493401288986,0.275908499956131,0.25129783153533936,2.145172119140625,1,7,9fffb715f8680daa
shared_e2e,44,small,5,3,3,0,-0.00017437429050914943,-0.008659795857965946,0.0002779796195682138,0.016657758504152298,0.34939610958099365,0.352957159280777,0.9085917472839355,3,7,9fffb715f8680daa
shared_e2e,44,medium,5,2,2,0,0.03550778329372406,0.2506248354911804,0.03541328012943268,0.24911284446716309,0.38937851786613464,0.3878515064716339,1.1231261491775513,2,7,9fffb715f8680daa
shared_e2e,44,large,5,2,2,0,0.0002635029377415776,0.027054909616708755,0.0004066981782671064,0.04518384113907814,0.20725706219673157,0.20235861837863922,1.552687406539917,2,7,9fffb715f8680daa
shared_e2e,44,medium,6,1,1,0,0.10326982289552689,0.22808127105236053,0.10166960954666138,0.2222423553466797,0.4468716084957123,0.4279133677482605,1.6222227811813354,1,7,9fffb715f8680daa
shared_e2e,44,large,6,4,4,0,0.004442490637302399,0.10308261215686798,0.004638142883777618,0.11063821613788605,0.17878597974777222,0.17784544825553894,0.8069342970848083,4,7,9fffb715f8680daa
shared_e2e,44,large,7,2,2,0,0.001174360397271812,0.11485061049461365,0.001236309646628797,0.11839232593774796,0.20358172059059143,0.19308730959892273,0.8568124771118164,2,7,9fffb715f8680daa
shared_e2e,44,large,8,3,3,0,0.017163533717393875,0.15806987881660461,0.01801603101193905,0.15772533416748047,0.15883766114711761,0.15368932485580444,1.215437412261963,3,7,9fffb715f8680daa
shared_e2e,44,large,9,5,5,0,-0.0012849769555032253,-0.015083804726600647,-0.0013186990981921554,-0.015468848869204521,0.48645684123039246,0.48982325196266174,1.6394109725952148,5,7,9fffb715f8680daa
