experiment,seed,iou_threshold,recall_threshold,precision
baseline,42,0.75,0.53,0.09594766047035963
baseline,42,0.75,0.54,0.09594766047035963
baseline,42,0.75,0.55,0.0882370406254885
baseline,42,0.75,0.56,0.0882370406254885
baseline,42,0.75,0.5700000000000001,0.08655178221733852
baseline,42,0.75,0.58,0.08639663628799904
baseline,42,0.75,0.59,0.08639663628799904
baseline,42,0.75,0.6,0.08639663628799904
baseline,42,0.75,0.61,0.0850702911062614
baseline,42,0.75,0.62,0.08476813140743042
baseline,42,0.75,0.63,0.08476813140743042
baseline,42,0.75,0.64,0.08328366736585614
baseline,42,0.75,0.65,0.08328366736585614
baseline,42,0.75,0.66,0.08328366736585614
baseline,42,0.75,0.67,0.0830278625645968
baseline,42,0.75,0.68,0.08236976645195523
baseline,42,0.75,0.6900000000000001,0.08236976645195523
baseline,42,0.75,0.7000000000000001,0.08194807970496729
baseline,42,0.75,0.71,0.08182860539194457
baseline,42,0.75,0.72,0.08182675148019078
baseline,42,0.75,0.73,0.07924571906722558
baseline,42,0.75,0.74,0.07924571906722558
baseline,42,0.75,0.75,0.07721305119063757
baseline,42,0.75,0.76,0.03343612539464293
baseline,42,0.75,0.77,0.03336411031858963
baseline,42,0.75,0.78,0.03281234371822968
baseline,42,0.75,0.79,0.0327642708146263
baseline,42,0.75,0.8,0.0327642708146263
baseline,42,0.75,0.81,0.030005640911526864
baseline,42,0.75,0.8200000000000001,0.02656909387892072
baseline,42,0.75,0.8300000000000001,0.02656909387892072
baseline,42,0.75,0.84,0.026260109593275755
baseline,42,0.75,0.85,0.024749589676951466
baseline,42,0.75,0.86,0.02473463622254526
baseline,42,0.75,0.87,0.02473463622254526
baseline,42,0.75,0.88,0.02457129628253158
baseline,42,0.75,0.89,0.024473663240183
baseline,42,0.75,0.9,0.024473663240183
baseline,42,0.75,0.91,0.015126986747158422
baseline,42,0.75,0.92,0.015126986747158422
baseline,42,0.75,0.93,0.015126986747158422
baseline,42,0.75,0.9400000000000001,0.015126986747158422
baseline,42,0.75,0.9500000000000001,0.015126986747158422
baseline,42,0.75,0.96,0.015126986747158422
baseline,42,0.75,0.97,0.015126986747158422
baseline,42,0.75,0.98,0.015126986747158422
baseline,42,0.75,0.99,0.015126986747158422
baseline,42,0.75,1.0,0.015126986747158422
shared_e2e,42,0.5,0.0,0.3782757372316129
shared_e2e,42,0.5,0.01,0.3782757372316129
shared_e2e,42,0.5,0.02,0.3782757372316129
shared_e2e,42,0.5,0.03,0.3657757372316129
shared_e2e,42,0.5,0.04,0.3657757372316129
shared_e2e,42,0.5,0.05,0.3657757372316129
shared_e2e,42,0.5,0.06,0.3657757372316129
shared_e2e,42,0.5,0.07,0.3532757372316129
shared_e2e,42,0.5,0.08,0.3532757372316129
shared_e2e,42,0.5,0.09,0.3532757372316129
shared_e2e,42,0.5,0.1,0.29418482814070374
shared_e2e,42,0.5,0.11,0.29418482814070374
shared_e2e,42,0.5,0.12,0.29418482814070374
shared_e2e,42,0.5,0.13,0.2922066928271724
shared_e2e,42,0.5,0.14,0.2922066928271724
shared_e2e,42,0.5,0.15,0.2922066928271724
shared_e2e,42,0.5,0.16,0.29083414380756456
shared_e2e,42,0.5,0.17,0.2880400261605057
shared_e2e,42,0.5,0.18,0.2880400261605057
shared_e2e,42,0.5,0.19,0.26153064927000363
shared_e2e,42,0.5,0.2,0.26153064927000363
shared_e2e,42,0.5,0.21,0.2515306492700037
shared_e2e,42,0.5,0.22,0.2515306492700037
shared_e2e,42,0.5,0.23,0.2515306492700037
shared_e2e,42,0.5,0.24,0.2515306492700037
shared_e2e,42,0.5,0.25,0.2515306492700037
shared_e2e,42,0.5,0.26,0.2162895723014993
shared_e2e,42,0.5,0.27,0.2156929813924084
shared_e2e,42,0.5,0.28,0.20387479957422658
shared_e2e,42,0.5,0.29,0.20387479957422658
shared_e2e,42,0.5,0.3,0.20387479957422658
shared_e2e,42,0.5,0.31,0.20371952007112099
shared_e2e,42,0.5,0.32,0.20371952007112099
shared_e2e,42,0.5,0.33,0.20371952007112099
shared_e2e,42,0.5,0.34,0.20371952007112099
shared_e2e,42,0.5,0.35000000000000003,0.20371952007112099
shared_e2e,42,0.5,0.36,0.20371952007112099
shared_e2e,42,0.5,0.37,0.2011627018893028
shared_e2e,42,0.5,0.38,0.1985311229419344
shared_e2e,42,0.5,0.39,0.1985311229419344
shared_e2e,42,0.5,0.4,0.1985311229419344
shared_e2e,42,0.5,0.41000000000000003,0.18237593130698262
shared_e2e,42,0.5,0.42,0.18237593130698262
shared_e2e,42,0.5,0.43,0.18237593130698262
shared_e2e,42,0.5,0.44,0.18237593130698262
shared_e2e,42,0.5,0.45,0.18237593130698262
shared_e2e,42,0.5,0.46,0.17452351947110492
shared_e2e,42,0.5,0.47000000000000003,0.17438971037208617
shared_e2e,42,0.5,0.48,0.17426467564021622
shared_e2e,42,0.5,0.49,0.17426467564021622
shared_e2e,42,0.5,0.5,0.1737011510500523
shared_e2e,42,0.5,0.51,0.14579575438838088
shared_e2e,42,0.5,0.52,0.14579575438838088
shared_e2e,42,0.5,0.53,0.14572004597393137
shared_e2e,42,0.5,0.54,0.14526714742320673
shared_e2e,42,0.5,0.55,0.144799770817392
shared_e2e,42,0.5,0.56,0.144799770817392
shared_e2e,42,0.5,0.5700000000000001,0.14408247123933293
shared_e2e,42,0.5,0.58,0.13921837546855478
shared_e2e,42,0.5,0.59,0.13921837546855478
shared_e2e,42,0.5,0.6,0.135878202189941
shared_e2e,42,0.5,0.61,0.13323045409692094
shared_e2e,42,0.5,0.62,0.13274600738605913
shared_e2e,42,0.5,0.63,0.1308126024451354
shared_e2e,42,0.5,0.64,0.12607593471652245
shared_e2e,42,0.5,0.65,0.12533440929279363
shared_e2e,42,0.5,0.66,0.12533440929279363
shared_e2e,42,0.5,0.67,0.12533440929279363
shared_e2e,42,0.5,0.68,0.12371727642566077
shared_e2e,42,0.5,0.6900000000000001,0.12201659615355191
shared_e2e,42,0.5,0.7000000000000001,0.11532680277037628
shared_e2e,42,0.5,0.71,0.11512617399565965
shared_e2e,42,0.5,0.72,0.11256983653006492
shared_e2e,42,0.5,0.73,0.10934467039266797
shared_e2e,42,0.5,0.74,0.10934467039266797
shared_e2e,42,0.5,0.75,0.1066658391255706
shared_e2e,42,0.5,0.76,0.05897728899816177
shared_e2e,42,0.5,0.77,0.05897728899816177
shared_e2e,42,0.5,0.78,0.058899812013383714
shared_e2e,42,0.5,0.79,0.058302884312598946
shared_e2e,42,0.5,0.8,0.058302884312598946
shared_e2e,42,0.5,0.81,0.05214125517452485
shared_e2e,42,0.5,0.8200000000000001,0.04711883957113515
shared_e2e,42,0.5,0.8300000000000001,0.04711883957113515
shared_e2e,42,0.5,0.84,0.046928072132661286
shared_e2e,42,0.5,0.85,0.045801253609749716
shared_e2e,42,0.5,0.86,0.04562178051062431
shared_e2e,42,0.5,0.87,0.04562178051062431
shared_e2e,42,0.5,0.88,0.044237100465408574
shared_e2e,42,0.5,0.89,0.044237100465408574
shared_e2e,42,0.5,0.9,0.044237100465408574
shared_e2e,42,0.5,0.91,0.04035575046661044
shared_e2e,42,0.5,0.92,0.03973066956985033
shared_e2e,42,0.5,0.93,0.03909958597408737
shared_e2e,42,0.5,0.9400000000000001,0.03565921900161031
shared_e2e,42,0.5,0.9500000000000001,0.034527290124495985
shared_e2e,42,0.5,0.96,0.033351197550218245
shared_e2e,42,0.5,0.97,0.033351197550218245
shared_e2e,42,0.5,0.98,0.029677076144467452
shared_e2e,42,0.5,0.99,0.029677076144467452
shared_e2e,42,0.5,1.0,0.029677076144467452
shared_e2e,42,0.75,0.0,0.3202773363178402
shared_e2e,42,0.75,0.01,0.3202773363178402
shared_e2e,42,0.75,0.02,0.3202773363178402
shared_e2e,42,0.75,0.03,0.30599162203212593
shared_e2e,42,0.75,0.04,0.30599162203212593
shared_e2e,42,0.75,0.05,0.30599162203212593
shared_e2e,42,0.75,0.06,0.30599162203212593
shared_e2e,42,0.75,0.07,0.28932495536545927
shared_e2e,42,0.75,0.08,0.28861066965117355
shared_e2e,42,0.75,0.09,0.28861066965117355
shared_e2e,42,0.75,0.1,0.22652733631784025
shared_e2e,42,0.75,0.11,0.2265149891144818
shared_e2e,42,0.75,0.12,0.2265149891144818
shared_e2e,42,0.75,0.13,0.2087035204676171
shared_e2e,42,0.75,0.14,0.2087035204676171
shared_e2e,42,0.75,0.15,0.20772312831075435
shared_e2e,42,0.75,0.16,0.201232256099801
shared_e2e,42,0.75,0.17,0.201232256099801
shared_e2e,42,0.75,0.18,0.201232256099801
shared_e2e,42,0.75,0.19,0.19551797038551527
shared_e2e,42,0.75,0.2,0.19551797038551527
shared_e2e,42,0.75,0.21,0.1854701920768674
shared_e2e,42,0.75,0.22,0.1846081231113502
shared_e2e,42,0.75,0.23,0.1817235077267348
shared_e2e,42,0.75,0.24,0.1817235077267348
shared_e2e,42,0.75,0.25,0.1817235077267348
shared_e2e,42,0.75,0.26,0.13994523834140463
shared_e2e,42,0.75,0.27,0.13994523834140463
shared_e2e,42,0.75,0.28,0.12812705652322282
shared_e2e,42,0.75,0.29,0.12509675349291977
shared_e2e,42,0.75,0.3,0.12509675349291977
shared_e2e,42,0.75,0.31,0.11260712944488818
shared_e2e,42,0.75,0.32,0.1113145974077693
shared_e2e,42,0.75,0.33,0.11101739461056652
shared_e2e,42,0.75,0.34,0.1096910160710732
shared_e2e,42,0.75,0.35000000000000003,0.1096910160710732
shared_e2e,42,0.75,0.36,0.1095117127923847
shared_e2e,42,0.75,0.37,0.1043295271297886
shared_e2e,42,0.75,0.38,0.1043295271297886
shared_e2e,42,0.75,0.39,0.10362471784288974
shared_e2e,42,0.75,0.4,0.10351360673177863
shared_e2e,42,0.75,0.41000000000000003,0.10297108651829871
shared_e2e,42,0.75,0.42,0.10297108651829871
shared_e2e,42,0.75,0.43,0.10297108651829871
shared_e2e,42,0.75,0.44,0.10297108651829871
shared_e2e,42,0.75,0.45,0.10297108651829871
shared_e2e,42,0.75,0.46,0.09696986813136191
shared_e2e,42,0.75,0.47000000000000003,0.09445048828640065
shared_e2e,42,0.75,0.48,0.09430167876259114
shared_e2e,42,0.75,0.49,0.09430167876259114
shared_e2e,42,0.75,0.5,0.09430167876259114
shared_e2e,42,0.75,0.51,0.08041136241574728
shared_e2e,42,0.75,0.52,0.08041136241574728
shared_e2e,42,0.75,0.53,0.08014350527289014
shared_e2e,42,0.75,0.54,0.08014350527289014
shared_e2e,42,0.75,0.55,0.07670052559689997
shared_e2e,42,0.75,0.56,0.07670052559689997
shared_e2e,42,0.75,0.5700000000000001,0.07646648023825019
shared_e2e,42,0.75,0.58,0.07417634543432862
shared_e2e,42,0.75,0.59,0.07417634543432862
shared_e2e,42,0.75,0.6,0.07405845017495906
shared_e2e,42,0.75,0.61,0.07166996898135822
shared_e2e,42,0.75,0.62,0.07038504203954841
shared_e2e,42,0.75,0.63,0.0682753373981982
shared_e2e,42,0.75,0.64,0.06474927655163001
shared_e2e,42,0.75,0.65,0.06474927655163001
shared_e2e,42,0.75,0.66,0.06474927655163001
shared_e2e,42,0.75,0.67,0.0646066166344648
shared_e2e,42,0.75,0.68,0.06429907777651452
shared_e2e,42,0.75,0.6900000000000001,0.06429907777651452
shared_e2e,42,0.75,0.7000000000000001,0.061846454900597966
shared_e2e,42,0.75,0.71,0.06159273271245321
shared_e2e,42,0.75,0.72,0.06094997055907686
shared_e2e,42,0.75,0.73,0.058831882461607324
shared_e2e,42,0.75,0.74,0.0570228432517899
shared_e2e,42,0.75,0.75,0.0570228432517899
shared_e2e,42,0.75,0.76,0.018732382583717008
shared_e2e,42,0.75,0.77,0.01768062695148644
shared_e2e,42,0.75,0.78,0.017531289260796272
shared_e2e,42,0.75,0.79,0.016136113121716082
shared_e2e,42,0.75,0.8,0.016136113121716082
shared_e2e,42,0.75,0.81,0.01083446373666124
shared_e2e,42,0.75,0.8200000000000001,0.01070726217110351
shared_e2e,42,0.75,0.8300000000000001,0.01070726217110351
shared_e2e,42,0.75,0.84,0.010598231682060158
shared_e2e,42,0.75,0.85,0.00989665838196122
shared_e2e,42,0.75,0.86,0.00989665838196122
shared_e2e,42,0.75,0.87,0.00989665838196122
shared_e2e,42,0.75,0.88,0.009411760852690751
shared_e2e,42,0.75,0.89,0.009411760852690751
shared_e2e,42,0.75,0.9,0.009411760852690751
shared_e2e,42,0.75,0.91,0.006021016949713921
shared_e2e,42,0.75,0.92,0.003047549429128376
shared_e2e,42,0.75,0.93,0.003047549429128376
shared_e2e,42,0.75,0.9400000000000001,0.003047549429128376
shared_e2e,42,0.75,0.9500000000000001,0.003047549429128376
shared_e2e,42,0.75,0.96,0.003047549429128376
shared_e2e,42,0.75,0.97,0.003047549429128376
shared_e2e,42,0.75,0.98,0.003047549429128376
shared_e2e,42,0.75,0.99,0.003047549429128376
shared_e2e,42,0.75,1.0,0.003047549429128376
baseline,43,0.5,0.0,0.4861826564165745
baseline,43,0.5,0.01,0.4861826564165745
baseline,43,0.5,0.02,0.4861826564165745
baseline,43,0.5,0.03,0.4861826564165745
baseline,43,0.5,0.04,0.4861826564165745
baseline,43,0.5,0.05,0.4861826564165745
baseline,43,0.5,0.06,0.4790397992737173
baseline,43,0.5,0.07,0.4790397992737173
baseline,43,0.5,0.08,0.4790397992737173
baseline,43,0.5,0.09,0.47507154530546336
baseline,43,0.5,0.1,0.4445159897499078
baseline,43,0.5,0.11,0.44213503736895543
baseline,43,0.5,0.12,0.44213503736895543
baseline,43,0.5,0.13,0.4016728524950059
baseline,43,0.5,0.14,0.4016728524950059
baseline,43,0.5,0.15,0.4016728524950059
baseline,43,0.5,0.16,0.4016728524950059
baseline,43,0.5,0.17,0.4016728524950059
baseline,43,0.5,0.18,0.4016728524950059
baseline,43,0.5,0.19,0.38774945704987135
baseline,43,0.5,0.2,0.3860827903832047
baseline,43,0.5,0.21,0.3150871193875337
baseline,43,0.5,0.22,0.3150871193875337
baseline,43,0.5,0.23,0.3145124067438555
baseline,43,0.5,0.24,0.3145124067438555
baseline,43,0.5,0.25,0.3145124067438555
baseline,43,0.5,0.26,0.3091500879032758
baseline,43,0.5,0.27,0.3091500879032758
baseline,43,0.5,0.28,0.2994862223570573
baseline,43,0.5,0.29,0.2994862223570573
baseline,43,0.5,0.3,0.2994862223570573
baseline,43,0.5,0.31,0.29704205484292834
baseline,43,0.5,0.32,0.2968482563933159
baseline,43,0.5,0.33,0.2968482563933159
baseline,43,0.5,0.34,0.2968482563933159
baseline,43,0.5,0.35000000000000003,0.2968482563933159
baseline,43,0.5,0.36,0.2968482563933159
baseline,43,0.5,0.37,0.27392970435711683
baseline,43,0.5,0.38,0.27392970435711683
baseline,43,0.5,0.39,0.27392970435711683
baseline,43,0.5,0.4,0.27392970435711683
baseline,43,0.5,0.41000000000000003,0.2628663641885135
baseline,43,0.5,0.42,0.2628663641885135
baseline,43,0.5,0.43,0.2628663641885135
baseline,43,0.5,0.44,0.2610486683852523
baseline,43,0.5,0.45,0.2610486683852523
baseline,43,0.5,0.46,0.2588472513812038
baseline,43,0.5,0.47000000000000003,0.2588472513812038
baseline,43,0.5,0.48,0.2588472513812038
baseline,43,0.5,0.49,0.2588472513812038
baseline,43,0.5,0.5,0.2588472513812038
baseline,43,0.5,0.51,0.22939608222231284
baseline,43,0.5,0.52,0.22939608222231284
baseline,43,0.5,0.53,0.22939608222231284
baseline,43,0.5,0.54,0.2275898424850386
baseline,43,0.5,0.55,0.22126032450887684
baseline,43,0.5,0.56,0.22126032450887684
baseline,43,0.5,0.5700000000000001,0.22126032450887684
baseline,43,0.5,0.58,0.21294582618825486
baseline,43,0.5,0.59,0.21294582618825486
baseline,43,0.5,0.6,0.21282041619404302
baseline,43,0.5,0.61,0.20626675266532618
baseline,43,0.5,0.62,0.20580039690250138
baseline,43,0.5,0.63,0.20580039690250138
baseline,43,0.5,0.64,0.20572847515336443
baseline,43,0.5,0.65,0.20572847515336443
baseline,43,0.5,0.66,0.20572847515336443
baseline,43,0.5,0.67,0.20572847515336443
baseline,43,0.5,0.68,0.20572847515336443
baseline,43,0.5,0.6900000000000001,0.20476377893004752
baseline,43,0.5,0.7000000000000001,0.20476377893004752
baseline,43,0.5,0.71,0.20407207932530444
baseline,43,0.5,0.72,0.19794846118626425
baseline,43,0.5,0.73,0.19076056711312428
baseline,43,0.5,0.74,0.19071173368935868
baseline,43,0.5,0.75,0.19061986883276993
baseline,43,0.5,0.76,0.12830609839197668
baseline,43,0.5,0.77,0.12830609839197668
baseline,43,0.5,0.78,0.12796516807252964
baseline,43,0.5,0.79,0.12796516807252964
baseline,43,0.5,0.8,0.12796516807252964
baseline,43,0.5,0.81,0.11948205527337911
baseline,43,0.5,0.8200000000000001,0.11723849131521338
baseline,43,0.5,0.8300000000000001,0.11723849131521338
baseline,43,0.5,0.84,0.11555592134065869
baseline,43,0.5,0.85,0.1138357135374356
baseline,43,0.5,0.86,0.11211982647562144
baseline,43,0.5,0.87,0.11211982647562144
baseline,43,0.5,0.88,0.10796521663295307
baseline,43,0.5,0.89,0.10724346294521814
baseline,43,0.5,0.9,0.10724346294521814
baseline,43,0.5,0.91,0.09896112937425704
baseline,43,0.5,0.92,0.09605513444039833
baseline,43,0.5,0.93,0.08926493646840412
baseline,43,0.5,0.9400000000000001,0.08666978075906155
baseline,43,0.5,0.9500000000000001,0.08643769840821844
baseline,43,0.5,0.96,0.08643769840821844
baseline,43,0.5,0.97,0.08643769840821844
baseline,43,0.5,0.98,0.07898629452052944
baseline,43,0.5,0.99,0.07898629452052944
baseline,43,0.5,1.0,0.07898629452052944
baseline,43,0.75,0.0,0.41020118406659795
baseline,43,0.75,0.01,0.41020118406659795
baseline,43,0.75,0.02,0.41020118406659795
baseline,43,0.75,0.03,0.41020118406659795
baseline,43,0.75,0.04,0.41020118406659795
baseline,43,0.75,0.05,0.403951184066598
baseline,43,0.75,0.06,0.403951184066598
baseline,43,0.75,0.07,0.39395118406659807
baseline,43,0.75,0.08,0.39395118406659807
baseline,43,0.75,0.09,0.39395118406659807
baseline,43,0.75,0.1,0.3598981537635678
baseline,43,0.75,0.11,0.35751720138261545
baseline,43,0.75,0.12,0.3564476826660379
baseline,43,0.75,0.13,0.35085645741189125
baseline,43,0.75,0.14,0.35085645741189125
baseline,43,0.75,0.15,0.3465231240785579
baseline,43,0.75,0.16,0.3465231240785579
baseline,43,0.75,0.17,0.3454395327472886
baseline,43,0.75,0.18,0.3454395327472886
baseline,43,0.75,0.19,0.331142426344919
baseline,43,0.75,0.2,0.3293242445267372
baseline,43,0.75,0.21,0.276676688830401
baseline,43,0.75,0.22,0.2752481174018296
baseline,43,0.75,0.23,0.27461786530098925
baseline,43,0.75,0.24,0.27461786530098925
baseline,43,0.75,0.25,0.27461786530098925
baseline,43,0.75,0.26,0.26763373831686227
baseline,43,0.75,0.27,0.26737113327484546
baseline,43,0.75,0.28,0.25770726772862695
baseline,43,0.75,0.29,0.255819943784965
baseline,43,0.75,0.3,0.255819943784965
baseline,43,0.75,0.31,0.2534303333953546
baseline,43,0.75,0.32,0.2534303333953546
baseline,43,0.75,0.33,0.2534303333953546
baseline,43,0.75,0.34,0.2534303333953546
baseline,43,0.75,0.35000000000000003,0.2534303333953546
baseline,43,0.75,0.36,0.2534303333953546
baseline,43,0.75,0.37,0.22583466834870913
baseline,43,0.75,0.38,0.22583466834870913
baseline,43,0.75,0.39,0.22583466834870913
baseline,43,0.75,0.4,0.22583466834870913
baseline,43,0.75,0.41000000000000003,0.213923212880771
baseline,43,0.75,0.42,0.213923212880771
baseline,43,0.75,0.43,0.21181053682443296
baseline,43,0.75,0.44,0.20828074117477174
baseline,43,0.75,0.45,0.20828074117477174
baseline,43,0.75,0.46,0.20694359807563942
baseline,43,0.75,0.47000000000000003,0.20694359807563942
baseline,43,0.75,0.48,0.2062183510712249
baseline,43,0.75,0.49,0.2062183510712249
baseline,43,0.75,0.5,0.20589478807160555
baseline,43,0.75,0.51,0.17526245426057702
baseline,43,0.75,0.52,0.17526245426057702
baseline,43,0.75,0.53,0.17507368953692853
baseline,43,0.75,0.54,0.17507368953692853
baseline,43,0.75,0.55,0.1715410808412764
baseline,43,0.75,0.56,0.1715410808412764
baseline,43,0.75,0.5700000000000001,0.16968922898942454
baseline,43,0.75,0.58,0.16918535302043228
baseline,43,0.75,0.59,0.16918535302043228
baseline,43,0.75,0.6,0.16897029925699142
baseline,43,0.75,0.61,0.16597944277170823
baseline,43,0.75,0.62,0.16597944277170823
