experiment,seed,scale,iou_threshold,AP,checkpoint_epoch,fingerprint
shared_detach,43,small,0.8,0.011566870972811566,7,d1b7a9f86e187c5e
shared_detach,43,medium,0.8,0.03624820727595901,7,d1b7a9f86e187c5e
shared_detach,43,large,0.8,0.12943916270984607,7,d1b7a9f86e187c5e
shared_detach,43,small,0.85,0.009387605427209388,7,d1b7a9f86e187c5e
shared_detach,43,medium,0.85,0.013420056603656416,7,d1b7a9f86e187c5e
shared_detach,43,large,0.85,0.09990603698312134,7,d1b7a9f86e187c5e
shared_detach,43,small,0.9,0.0013201320132013204,7,d1b7a9f86e187c5e
shared_detach,43,medium,0.9,0.00088008800880088,7,d1b7a9f86e187c5e
shared_detach,43,large,0.9,0.031222329858111717,7,d1b7a9f86e187c5e
shared_detach,43,small,0.95,0.0,7,d1b7a9f86e187c5e
shared_detach,43,medium,0.95,0.0,7,d1b7a9f86e187c5e
shared_detach,43,large,0.95,0.0022931304446311526,7,d1b7a9f86e187c5e
shared_e2e,43,small,0.5,0.16208287495416207,7,d1b7a9f86e187c5e
shared_e2e,43,medium,0.5,0.2009873161410847,7,d1b7a9f86e187c5e
shared_e2e,43,large,0.5,0.21495285681052717,7,d1b7a9f86e187c5e
shared_e2e,43,small,0.55,0.12508949307629175,7,d1b7a9f86e187c5e
shared_e2e,43,medium,0.55,0.19974929847925071,7,d1b7a9f86e187c5e
shared_e2e,43,large,0.55,0.21270019913158655,7,d1b7a9f86e187c5e
shared_e2e,43,small,0.6,0.10104933570280103,7,d1b7a9f86e187c5e
shared_e2e,43,medium,0.6,0.1905521841226808,7,d1b7a9f86e187c5e
shared_e2e,43,large,0.6,0.21167513105342922,7,d1b7a9f86e187c5e
shared_e2e,43,small,0.65,0.09368000902654366,7,d1b7a9f86e187c5e
shared_e2e,43,medium,0.65,0.17963964210895597,7,d1b7a9f86e187c5e
shared_e2e,43,large,0.65,0.19700366665763266,7,d1b7a9f86e187c5e
shared_e2e,43,small,0.7,0.08226143127133226,7,d1b7a9f86e187c5e
shared_e2e,43,medium,0.7,0.1618921383021857,7,d1b7a9f86e187c5e
shared_e2e,43,large,0.7,0.17912280963071434,7,d1b7a9f86e187c5e
shared_e2e,43,small,0.75,0.01623367464951623,7,d1b7a9f86e187c5e
shared_e2e,43,medium,0.75,0.1310086895993128,7,d1b7a9f86e187c5e
shared_e2e,43,large,0.75,0.13847997295582762,7,d1b7a9f86e187c5e
shared_e2e,43,small,0.8,0.002115596175002115,7,d1b7a9f86e187c5e
shared_e2e,43,medium,0.8,0.11061250338886537,7,d1b7a9f86e187c5e
shared_e2e,43,large,0.8,0.11722835687086694,7,d1b7a9f86e187c5e
shared_e2e,43,small,0.85,0.002115596175002115,7,d1b7a9f86e187c5e
shared_e2e,43,medium,0.85,0.026011758940713208,7,d1b7a9f86e187c5e
shared_e2e,43,large,0.85,0.08422928003672965,7,d1b7a9f86e187c5e
shared_e2e,43,small,0.9,0.0,7,d1b7a9f86e187c5e
shared_e2e,43,medium,0.9,0.003695190947666195,7,d1b7a9f86e187c5e
