experiment,seed,checkpoint_epoch,image_id,scale,query_index,target_index,target_area_pixels,center_error_x,center_error_y,center_error_l1,covariance_error_l1,predicted_var_x,predicted_var_y,target_var_x,target_var_y,off_diagonal_abs,valid_attention_mass
baseline,42,7,740,large,19,1,18312.00390625,0.009481191635131836,0.04917895793914795,0.058660149574279785,0.01628153771162033,0.000958902295678854,0.003895954694598913,0.00396033376455307,0.016725337132811546,0.00022536281903740019,0.8200507760047913
baseline,42,7,740,large,84,0,22080.001953125,0.008832156658172607,0.0717775821685791,0.08060973882675171,0.020766954869031906,0.0031133994925767183,0.0066777304746210575,0.004408334381878376,0.021845337003469467,0.0021522066090255976,0.8781397342681885
baseline,42,7,4031,medium,139,2,3315.00048828125,0.017283260822296143,0.031323209404945374,0.048606470227241516,0.013065958395600319,0.002741046017035842,0.007157906889915466,0.0008670000243000686,0.0025037042796611786,0.0032688546925783157,0.840597927570343
baseline,42,7,4031,large,154,1,132500.0,0.05255317687988281,0.0039789676666259766,0.05653214454650879,0.11591856181621552,0.006776113528758287,0.006236565299332142,0.0833333358168602,0.041614823043346405,0.0019915394950658083,0.7980055809020996
baseline,42,7,4031,large,239,0,35295.0078125,0.08117225766181946,0.06139737367630005,0.1425696313381195,0.028194570913910866,0.0020228957291692495,0.0067461528815329075,0.012675004079937935,0.019413931295275688,0.0024373421911150217,0.846581757068634
baseline,42,7,9724,large,141,0,167178.03125,0.052618980407714844,0.0036345720291137695,0.05625355243682861,0.1346287876367569,0.003983831964433193,0.011059681884944439,0.06660301238298416,0.08288950473070145,8.989021443994716e-05,0.8418394327163696
baseline,42,7,7062,large,261,0,148240.03125,0.049951642751693726,0.025429964065551758,0.07538160681724548,0.11285305768251419,0.008782757446169853,0.011574512347579002,0.06336534023284912,0.0685037225484848,0.0006706336280331016,0.807792067527771
baseline,42,7,9755,large,220,1,12540.3056640625,0.003966331481933594,0.03841221332550049,0.04237854480743408,0.010026481002569199,0.002131796907633543,0.005042791832238436,0.0035803401842713356,0.010936958715319633,0.0013418854214251041,0.8694145679473877
baseline,42,7,9755,large,273,0,74973.7734375,0.03718215227127075,0.055316388607025146,0.0924985408782959,0.0672125294804573,0.0059475768357515335,0.005417718552052975,0.04458509385585785,0.031393058598041534,0.0012998359743505716,0.8499175310134888
baseline,42,7,3808,large,171,0,137572.0,0.09608149528503418,0.058048129081726074,0.15412962436676025,0.12588679790496826,0.004306306596845388,0.01099296472966671,0.059361331164836884,0.0798666700720787,0.0009790323674678802,0.8426066637039185
baseline,42,7,5478,large,116,3,23569.96875,0.0529651939868927,0.010639965534210205,0.0636051595211029,0.023310862481594086,0.0024786386638879776,0.0009376058587804437,0.021644657477736473,0.0050430018454790115,1.972289101104252e-05,0.8550214767456055
baseline,42,7,5478,large,119,2,57252.6796875,0.021123871207237244,0.012673795223236084,0.03379766643047333,0.04756590351462364,0.003020855598151684,0.00422698725014925,0.017319757491350174,0.03718533366918564,0.00015432767395395786,0.8146535158157349
baseline,42,7,5478,large,142,1,18485.89453125,0.002390161156654358,0.0324673056602478,0.03485746681690216,0.020007671788334846,0.001944086980074644,0.0036904101725667715,0.003171925200149417,0.021168000996112823,0.0006511217798106372,0.8087096214294434
baseline,42,7,5478,large,217,0,93224.4140625,0.08205679059028625,0.10322237014770508,0.18527916073799133,0.07494401931762695,0.00628514913842082,0.003105296054854989,0.04619702324271202,0.03696299344301224,0.000587226590141654,0.8323614597320557
baseline,42,7,7905,large,133,0,88551.8984375,0.058883994817733765,0.06753429770469666,0.12641829252243042,0.07952557504177094,0.012006186880171299,0.00873754546046257,0.07744133472442627,0.020108388736844063,0.0013597910292446613,0.8753728866577148
baseline,42,7,8633,large,18,0,10645.2490234375,0.002558976411819458,0.006650879979133606,0.009209856390953064,0.010538586415350437,0.00199197418987751,0.004837924614548683,0.009407998993992805,0.005484260153025389,0.001238113036379218,0.8128867745399475
baseline,42,7,8633,medium,106,1,6825.27099609375,0.04299348592758179,0.0014252513647079468,0.044418737292289734,0.010155105032026768,0.0022522537037730217,0.0055792806670069695,0.006816334091126919,0.0031116632744669914,0.0015617036260664463,0.8384566307067871
baseline,42,7,8633,large,214,2,37450.93359375,0.005852937698364258,0.16111496090888977,0.16696789860725403,0.050175271928310394,0.0016988470451906323,0.009911124594509602,0.014008333906531334,0.04558715224266052,0.001094878651201725,0.7570534944534302
baseline,42,7,8633,large,263,3,38512.5,0.003423064947128296,0.1963702142238617,0.19979327917099,0.05640295147895813,0.0013728199992328882,0.010008874349296093,0.012674998492002487,0.053279366344213486,0.000915139855351299,0.8215407729148865
baseline,42,7,1918,large,34,1,13376.001953125,0.005285084247589111,0.04178893566131592,0.04707401990890503,0.017976395785808563,0.0017505364958196878,0.006531765218824148,0.0016520533245056868,0.021392596885561943,0.0015085408231243491,0.7661937475204468
baseline,42,7,1918,large,258,0,11980.802734375,0.0031647086143493652,0.01897341012954712,0.022138118743896484,0.01887436956167221,0.000876830774359405,0.0037606172263622284,0.0012979204766452312,0.021845337003469467,0.00018428018665872514,0.8665063381195068
baseline,42,7,4405,large,51,1,39929.88671875,0.012280315160751343,0.010745644569396973,0.023025959730148315,0.03306923806667328,0.012952637858688831,0.014950021170079708,0.01331324502825737,0.029999997466802597,0.008829327300190926,0.28681084513664246
baseline,42,7,4405,large,189,2,24863.619140625,0.1468225121498108,0.03244751691818237,0.17927002906799316,0.02246767468750477,0.003675768617540598,0.0023856142070144415,0.008133231662213802,0.019040334969758987,0.0006777459639124572,0.815498948097229
baseline,42,7,4405,large,194,3,22764.623046875,0.014524564146995544,0.01707136631011963,0.03159593045711517,0.019646186381578445,0.002750154584646225,0.0010431018890812993,0.01056449394673109,0.012288002297282219,0.00029347316012717783,0.7505282163619995
baseline,42,7,4405,large,209,0,58219.6015625,0.04921245574951172,0.040631890296936035,0.08984434604644775,0.05384014546871185,0.0070513528771698475,0.002484094351530075,0.03826743736863136,0.02218799851834774,0.0014600794529542327,0.7892593145370483
baseline,42,7,8443,large,136,0,26696.0,0.03997230529785156,0.025468766689300537,0.0654410719871521,0.019526872783899307,0.0018385449657216668,0.0031225092243403196,0.011781333014369011,0.011515128426253796,0.00059573381440714,0.8462399244308472
baseline,42,7,6654,large,37,0,102530.9921875,0.04747748374938965,0.08752879500389099,0.13500627875328064,0.08850695192813873,0.008964898996055126,0.007983677089214325,0.06134698912501335,0.04292656108736992,0.0005909913452342153,0.8880488276481628
baseline,42,7,6654,large,112,2,20591.998046875,0.007675111293792725,0.012154698371887207,0.01982980966567993,0.01889760047197342,0.00452906871214509,0.004987952299416065,0.006816332694143057,0.015583149157464504,0.0030075698159635067,0.808175802230835
baseline,42,7,6654,large,236,1,20881.001953125,0.007675990462303162,0.019281327724456787,0.02695731818675995,0.01789979264140129,0.0015108226798474789,0.0029449230059981346,0.008216334506869316,0.013293325901031494,0.00042293910519219935,0.6966383457183838
baseline,42,7,1938,large,130,0,165114.6875,0.03087836503982544,0.058659493923187256,0.0895378589630127,0.1286686658859253,0.007786204572767019,0.013140453957021236,0.06531792879104614,0.08244682848453522,0.0009152865968644619,0.8439114093780518
baseline,42,7,6190,large,290,0,77740.0,0.025806128978729248,0.1062658429145813,0.13207197189331055,0.07653392851352692,0.0019389864755794406,0.00676953187212348,0.0380813330411911,0.0452861413359642,0.0009374860092066228,0.8053399324417114
baseline,42,7,5214,large,261,0,150491.078125,0.012028485536575317,0.010553181171417236,0.022581666707992554,0.11455580592155457,0.004216138273477554,0.014826521277427673,0.05574483424425125,0.07774356007575989,5.503851571120322e-05,0.7885070443153381
baseline,42,7,6020,large,43,0,107520.015625,0.03020891547203064,0.043893903493881226,0.07410281896591187,0.09234309941530228,0.010955565609037876,0.005644802004098892,0.07680000364780426,0.02973392978310585,0.001204763655550778,0.8547303676605225
baseline,42,7,6020,medium,68,1,4000.0,0.04059329256415367,0.04599916934967041,0.08659246563911438,0.07198434323072433,0.019323673099279404,0.023526420816779137,0.0003413333906792104,0.009259260259568691,0.019367419183254242,0.7699952721595764
baseline,42,7,9192,large,283,0,104720.0234375,0.034985899925231934,0.08821555972099304,0.12320145964622498,0.08496750891208649,0.0043662781827151775,0.008763846009969711,0.03853334113955498,0.056215714663267136,0.0016742884181439877,0.8419064283370972
baseline,42,7,849,large,59,0,25420.9921875,0.020994126796722412,0.05980175733566284,0.08079588413238525,0.05661996081471443,0.005143888760358095,0.003083342220634222,0.018064189702272415,0.045861512422561646,0.0004607432638294995,0.832750678062439
baseline,42,7,3003,medium,144,3,2803.199951171875,0.016617629677057266,0.008024543523788452,0.02464217320084572,0.004314754158258438,0.001107633113861084,0.0017400613287463784,0.0003413333906792104,0.0045474134385585785,0.00037055107532069087,0.8237826824188232
baseline,42,7,3003,medium,187,2,6858.60107421875,0.019073881208896637,0.0238492488861084,0.042923130095005035,0.004722224082797766,0.0009577629971317947,0.002002233639359474,0.001680333516560495,0.00552981486544013,0.0002360361977480352,0.8644484877586365
baseline,42,7,3003,large,207,0,21472.201171875,0.04040813446044922,0.0257912278175354,0.06619936227798462,0.017219500616192818,0.0020667267963290215,0.0028722877614200115,0.007600333075970411,0.011982723139226437,0.0012877293629571795,0.8677135705947876
baseline,42,7,3003,large,285,1,23173.19921875,0.012416601181030273,0.029659628868103027,0.0420762300491333,0.016235768795013428,0.0038723754696547985,0.005786443129181862,0.008216330781579018,0.01291008573025465,0.0023840859066694975,0.9151065349578857
baseline,42,7,7900,large,6,1,184635.015625,0.02246326208114624,0.04408836364746094,0.06655162572860718,0.13699546456336975,0.016519557684659958,0.015893373638391495,0.08167500793933868,0.08244682848453522,0.0026432762388139963,0.7767027020454407
baseline,42,7,7900,large,220,0,23769.001953125,0.020244359970092773,0.02306908369064331,0.043313443660736084,0.01882411539554596,0.0020722674671560526,0.004821600392460823,0.00644033495336771,0.01732800155878067,0.0009748238953761756,0.8428390622138977
baseline,42,7,8095,large,147,1,45162.0,0.04078194499015808,0.034290313720703125,0.0750722587108612,0.04644988849759102,0.008405288681387901,0.005219814833253622,0.049665339291095734,0.008112000301480293,0.0011488262098282576,0.8234483003616333
baseline,42,7,8095,medium,282,0,4480.0009765625,0.04891383647918701,0.10298427939414978,0.1518981158733368,0.02778175286948681,0.01608823984861374,0.005386576987802982,0.005461332853883505,0.0007259263657033443,0.006247098557651043,0.8140647411346436
baseline,42,7,3781,medium,183,2,2114.99951171875,0.0012235045433044434,0.04070878028869629,0.04193228483200073,0.00281217647716403,0.0012326089199632406,0.0025538913905620575,0.000736333429813385,0.0011999993585050106,0.00048100450658239424,0.8366990685462952
baseline,42,7,3781,large,186,1,76472.0,0.02022099494934082,0.06137567758560181,0.08159667253494263,0.06726154685020447,0.0021099867299199104,0.010147366672754288,0.019521331414580345,0.05917392671108246,0.00041182301356457174,0.8817794322967529
baseline,42,7,3781,large,210,0,84234.0234375,0.06635028123855591,0.13003748655319214,0.19638776779174805,0.0681602954864502,0.0029870024882256985,0.007135044317692518,0.03060300648212433,0.04579794034361839,0.0009406995377503335,0.8508938550949097
baseline,42,7,5588,large,31,0,10413.0009765625,0.012727141380310059,0.02213388681411743,0.03486102819442749,0.005229530390352011,0.0014716775622218847,0.0037378217093646526,0.004563000053167343,0.004693926312029362,0.0005910516483709216,0.8622130751609802
baseline,42,7,8628,large,32,0,16302.001953125,0.010922491550445557,0.0047051310539245605,0.015627622604370117,0.011325890198349953,0.0032037922646850348,0.007868236862123013,0.007701334543526173,0.006816334091126919,0.0028882226906716824,0.7995631098747253
baseline,42,7,8628,medium,61,1,4952.25,0.14128807187080383,0.07533037662506104,0.21661844849586487,0.05200370401144028,0.010239627212285995,0.020914969965815544,0.001680333516560495,0.0028830000665038824,0.012706221081316471,0.8091355562210083
baseline,42,7,8628,large,78,2,102375.0078125,0.00205385684967041,0.013591885566711426,0.015645742416381836,0.07987827062606812,0.008066301234066486,0.004372218158096075,0.046875014901161194,0.04416533559560776,0.0006382160936482251,0.8313345909118652
baseline,42,7,8628,large,291,3,76125.0,0.019980669021606445,0.05870923399925232,0.07868990302085876,0.0660264864563942,0.006207364145666361,0.005430017132312059,0.02083333395421505,0.05494534224271774,0.0009425937314517796,0.8140215873718262
baseline,42,7,5314,large,253,0,128934.015625,0.024464666843414307,0.054327815771102905,0.07879248261451721,0.08414580672979355,0.027681482955813408,0.014940978027880192,0.0813453420996666,0.04036800563335419,0.002527462551370263,0.7591866850852966
